sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
11.989;12020;;12s;Yes;No;2;0.78591;0.81500;0.07806;0.14578;1.60091;Group2@0;PokerFace@1;0.815;0.785905062151012;0.815;0.785905062151012;0.815;0.785905062151012;party1_utility.xml;party2_utility.xml
11.819;7627;;12s;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;PokerFace@2;Group2@3;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;party1_utility.xml;party2_utility.xml
0.010;3;;12s;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TUDMixedStrategyAgent@4;Group2@5;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.006;2;;12s;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Group2@6;TUDMixedStrategyAgent@7;1.0;0.2969260373579895;1.0;0.2969260373579895;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.008;2;;12s;Yes;No;2;0.56672;0.91167;0.09595;0.38337;1.47839;PokerFace@8;TUDMixedStrategyAgent@9;0.9116666666666667;0.5667213838347658;0.9116666666666667;0.5667213838347658;0.9116666666666667;0.5667213838347658;party1_utility.xml;party2_utility.xml
0.012;3;;12s;Yes;No;2;0.72167;0.92793;0.04826;0.06334;1.64959;TUDMixedStrategyAgent@10;PokerFace@11;0.7216666666666667;0.9279255161862858;0.7216666666666667;0.9279255161862858;0.7216666666666667;0.9279255161862858;party1_utility.xml;party2_utility.xml
