sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;1;Session genius.core.session.Session@43814d18 failed: failed to construct agent : Execution failed of init<Group2@0,Participant[Party0,genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  ./agents/anac/y2015/group2/Group2: ./agents/anac/y2015/group2/Group2:[./agents/anac/y2015/group2/Group2, agents.anac.y2015.pokerface.PokerFace];12s;No;;0;;;;;;Group2;PokerFace;0.0;0.0;0.0;0.0;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@cd2dae5 failed: failed to construct agent : Execution failed of init<Group2@3,Participant[Party3,genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  ./agents/anac/y2015/group2/Group2: ./agents/anac/y2015/group2/Group2:[agents.anac.y2015.pokerface.PokerFace, ./agents/anac/y2015/group2/Group2];12s;No;;0;;;;;;PokerFace;Group2;0.0;0.0;0.0;0.0;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@79be0360 failed: failed to construct agent : Execution failed of init<Group2@5,Participant[Party5,genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  ./agents/anac/y2015/group2/Group2: ./agents/anac/y2015/group2/Group2:[agents.anac.y2015.TUDMixedStrategyAgent.TUDMixedStrategyAgent, ./agents/anac/y2015/group2/Group2];12s;No;;0;;;;;;TUDMixedStrategyAgent;Group2;0.0;0.0;0.0;0.0;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@57855c9a failed: failed to construct agent : Execution failed of init<Group2@6,Participant[Party6,genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  ./agents/anac/y2015/group2/Group2. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  ./agents/anac/y2015/group2/Group2: ./agents/anac/y2015/group2/Group2:[./agents/anac/y2015/group2/Group2, agents.anac.y2015.TUDMixedStrategyAgent.TUDMixedStrategyAgent];12s;No;;0;;;;;;Group2;TUDMixedStrategyAgent;0.0;0.0;0.0;0.0;;;party1_utility;party2_utility
0.042;2;;12s;Yes;No;2;0.37202;0.86083;0.13957;0.56169;1.23286;PokerFace@8;TUDMixedStrategyAgent@9;0.8608333333333335;0.3720221559459277;0.8608333333333335;0.3720221559459277;0.8608333333333335;0.3720221559459277;party1_utility.xml;party2_utility.xml
0.024;3;;12s;Yes;No;2;0.56667;0.87250;0.15703;0.22542;1.43916;TUDMixedStrategyAgent@10;PokerFace@11;0.5666666666666667;0.8724974603556563;0.5666666666666667;0.8724974603556563;0.5666666666666667;0.8724974603556563;party1_utility.xml;party2_utility.xml
