sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;1;Session genius.core.session.Session@3d99d22e failed: failed to construct agent : Execution failed of init<Group11@1,Participant[Party1,genius.core.exceptions.InstantiateException: failed to load class from  /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11: /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11:[agents.TimeDependentAgentBoulware, /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11];60rounds;No;;0;;;;;;TimeDependentAgentBoulware;Group11;0.0;0.0;0.0;0.0;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@79be0360 failed: failed to construct agent : Execution failed of init<Group11@2,Participant[Party2,genius.core.exceptions.InstantiateException: failed to load class from  /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11: /home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11:[/home/david/IdeaProjects/Negotiation_Agent/ai2019/group11/Group11, agents.TimeDependentAgentBoulware];60rounds;No;;0;;;;;;Group11;TimeDependentAgentBoulware;0.0;0.0;0.0;0.0;;;party1_utility;party2_utility
